"Variable_Key","Variable_Name","Variable_Type"
1,"Age.[0-10)","Demographic"
2,"Age.[10-20)","Demographic"
3,"Age.[20-30)","Demographic"
4,"Age.[30-40)","Demographic"
5,"Age.[40-50)","Demographic"
6,"Age.[50-60)","Demographic"
7,"Age.[60-70)","Demographic"
8,"Age.[70-80)","Demographic"
9,"Age.[80-90)","Demographic"
10,"Age.[90-100)","Demographic"
11,"Male","Demographic"
12,"Caucasian","Demographic"
13,"AfricanAmerican","Demographic"
14,"Asian","Demographic"
15,"Hispanic","Demographic"
16,"Other","Demographic"
17,"metformin","Prescription"
18,"repaglinide","Prescription"
19,"nateglinide","Prescription"
20,"chlorpropamide","Prescription"
21,"glimepiride","Prescription"
22,"acetohexamide","Prescription"
23,"glipizide","Prescription"
24,"glyburide","Prescription"
25,"tolbutamide","Prescription"
26,"pioglitazone","Prescription"
27,"rosiglitazone","Prescription"
28,"acarbose","Prescription"
29,"miglitol","Prescription"
30,"troglitazone","Prescription"
31,"tolazamide","Prescription"
32,"insulin","Prescription"
33,"glyburide.metformin","Prescription"
34,"glipizide.metformin","Prescription"
35,"glimepiride.pioglitazone","Prescription"
36,"metformin.rosiglitazone","Prescription"
37,"metformin.pioglitazone","Prescription"
38,"Myocardial.Infarction","Comorbidity"
39,"Congestive.Heart.Failure","Comorbidity"
40,"Peripheral.Vascular.Disease","Comorbidity"
41,"Cerebrovascular.Disease","Comorbidity"
42,"Dementia","Comorbidity"
43,"COPD","Comorbidity"
44,"Connective.Tissue.Disease","Comorbidity"
45,"Peptic.Ulcer.Disease","Comorbidity"
46,"Chronic.Kidney.Disease","Comorbidity"
47,"Hemiplegia","Comorbidity"
48,"Leukemia","Comorbidity"
49,"Malignant.Lymphoma","Comorbidity"
50,"Solid.Tumor","Comorbidity"
51,"Liver.Disease","Comorbidity"
52,"AIDS","Comorbidity"
